Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,Referral Fee %,"New, 3rd Party FBM: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Amazon offer),Custom_SKU,Google_Search_Link,Match,Amazon_link,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List,Blacklisted,Curr_Listed?,Buy Box ðŸšš: Stock,"New, 3rd Party FBM ðŸšš: 30 days avg.",Prime Eligible (Buy Box),Buy Box : Current,Buy Box : Stock,Buy Bo : Current,Buy Box ðŸšš: Current,Curr_match,Buy Box 🚚: Stock,"New, 3rd Party FBM 🚚: 30 days avg.",Buy Box 🚚: Current,Curr_Listed
"THE NORTH FACE Youth Alpenglow V Waterproof, Fuscia Pink/Crlsnrs, 13",136822,93193,,,125.65,125.65,,,A20FLYA0IW2L9O,1.0,B09TSHM2QB,196247344608,196247344608,B0BF1C8668,THE NORTH FACE,,GB196247344608,https://www.google.com/search?q=196247344608+THE+NORTH+FACE+Youth+Alpenglow+V+Waterproof%2C+Fuscia+Pink%2FCrlsnrs%2C+13&tbm=shop,Y,https://www.amazon.com/dp/B09TSHM2QB?psc=1,"https://www.google.com/shopping/product/13422243222365243725/offers?q=196247344608&prds=cid:13422243222365243725,cond:1",BobsSportsChalet.com,85.0,144.5,158.95000000000002,144.5,Y,V,1,,,yes,,,,,0,,$125.65,,1.0
"THE NORTH FACE Youth Alpenglow V Waterproof Boot, Optic Blue/TNF Black, 6",133596,251311,,,,131.16,,,-,,B0BZ8Y2DBK,196573296077,196573296077,B0BF1C8668,THE NORTH FACE,,GB196573296077,https://www.google.com/search?q=196573296077+THE+NORTH+FACE+Youth+Alpenglow+V+Waterproof+Boot%2C+Optic+Blue%2FTNF+Black%2C+6&tbm=shop,Y,https://www.amazon.com/dp/B0BZ8Y2DBK?psc=1,"https://www.google.com/shopping/product/11867134470849600281/offers?q=196573296077&prds=cid:11867134470849600281,cond:1",DICK'S Sporting Goods,85.0,144.5,158.95000000000002,144.5,Y,V,1,,,yes,,,,,0,,$121.71,,1.0
"THE NORTH FACE Women's Winter Warm Essential ¼ Zip, Vanadis Grey, Large",612709,531088,,,,126.44,,,-,,B09V3H56YR,196012539543,196012539543,B0B82PSRWZ,THE NORTH FACE,,GB196012539543,https://www.google.com/search?q=196012539543+THE+NORTH+FACE+Women%27s+Winter+Warm+Essential+%C2%BC+Zip%2C+Vanadis+Grey%2C+Large&tbm=shop,Y,https://www.amazon.com/dp/B09V3H56YR?psc=1,"https://www.google.com/shopping/product/11262176955715317494/offers?q=196012539543&prds=cid:11262176955715317494,cond:1",Sports Basement,75.0,127.5,140.25,127.5,Y,V,1,,,yes,,,,,0,,,,1.0
"THE NORTH FACE Women's Westbrae Knit Jogger (Standard and Plus Size), TNF Medium Grey Heather, X-Small Regular",950190,1030275,70.0,5.0,70.0,138.38,,,AI815W1WMD729,1.0,B0B2JRNLR3,196246232388,196246232388,B0B5MHQK79,THE NORTH FACE,,GB196246232388,https://www.google.com/search?q=196246232388+THE+NORTH+FACE+Women%27s+Westbrae+Knit+Jogger+%28Standard+and+Plus+Size%29%2C+TNF+Medium+Grey+Heather%2C+X-Small+Regular&tbm=shop,Y,https://www.amazon.com/dp/B0B2JRNLR3?psc=1,"https://www.google.com/shopping/product/3971624653571888600/offers?q=196246232388&prds=cid:3971624653571888600,cond:1",BobsSportsChalet.com,62.1,105.57,116.12700000000001,116.12700000000001,Y,V,1,,,no,,,,,0,,$70.00,,1.0
"THE NORTH FACE Women's Waterproof Antora Parka (Standard and Plus Size), TNF Black, 3X",85965,94882,,,,204.0,,,-,,B09JTRX3C5,680975966121,680975966121,B09JTRCJPX,THE NORTH FACE,,GB680975966121,https://www.google.com/search?q=680975966121+THE+NORTH+FACE+Women%27s+Waterproof+Antora+Parka+%28Standard+and+Plus+Size%29%2C+TNF+Black%2C+3X&tbm=shop,Y,https://www.amazon.com/dp/B09JTRX3C5?psc=1,"https://www.google.com/shopping/product/16729775792444501115/offers?q=680975966121&prds=cid:16729775792444501115,cond:1",,,,,,N,V,0,,,yes,,,,,0,,$120.00,,0.0
"THE NORTH FACE Women's Waterproof Antora Parka (Standard and Plus Size), Asphalt Grey, Large",82473,93319,,,,216.77,,,-,,B0BHTHSQXT,196010641767,196010641767,B09JTRCJPX,THE NORTH FACE,,GB196010641767,https://www.google.com/search?q=196010641767+THE+NORTH+FACE+Women%27s+Waterproof+Antora+Parka+%28Standard+and+Plus+Size%29%2C+Asphalt+Grey%2C+Large&tbm=shop,Y,https://www.amazon.com/dp/B0BHTHSQXT?psc=1,"https://www.google.com/shopping/product/3977038346613419189/offers?q=196010641767&prds=cid:3977038346613419189,cond:1",eBay,105.0,178.5,196.35000000000002,196.35000000000002,Y,V,1,,,yes,,,,,0,,,,1.0
"THE NORTH FACE Women's Waterproof Antora Jacket (Standard and Plus Size), TNF Black/Wild Ginger Snowcap Mountains Print, Small",19008,24738,142.56,1.0,142.56,164.57,,,A20FLYA0IW2L9O,1.0,B09V3FRBZM,196247412192,196247412192,B09F1K52N7,THE NORTH FACE,,GB196247412192,https://www.google.com/search?q=196247412192+THE+NORTH+FACE+Women%27s+Waterproof+Antora+Jacket+%28Standard+and+Plus+Size%29%2C+TNF+Black%2FWild+Ginger+Snowcap+Mountains+Print%2C+Small&tbm=shop,Y,https://www.amazon.com/dp/B09V3FRBZM?psc=1,"https://www.google.com/shopping/product/6265453031944099848/offers?q=196247412192&prds=cid:6265453031944099848,cond:1",Outdoor Gear Exchange,75.99,129.183,142.1013,141.56,Y,V,1,,,no,,,,,0,,$164.57,,1.0
"THE NORTH FACE Women's Waterproof Antora Jacket (Standard and Plus Size), Lime Cream, Large",18762,24635,,,,112.74,,,-,,B0BHTHZGTM,196011668695,196011668695,B09F1K52N7,THE NORTH FACE,,GB196011668695,https://www.google.com/search?q=196011668695+THE+NORTH+FACE+Women%27s+Waterproof+Antora+Jacket+%28Standard+and+Plus+Size%29%2C+Lime+Cream%2C+Large&tbm=shop,Y,https://www.amazon.com/dp/B0BHTHZGTM?psc=1,"https://www.google.com/shopping/product/5494084805926272605/offers?q=196011668695&prds=cid:5494084805926272605,cond:1",,,,,,N,V,0,,,yes,,,,,0,,,,0.0
"THE NORTH FACE Women's Wander Short Sleeve Tee (Standard and Plus Size), TNF Light Grey Heather, Large",610405,661663,,,84.43,96.24,,,A20FLYA0IW2L9O,1.0,B09KNXC8B3,196009345072,196009345072,B08MV7SRTX,THE NORTH FACE,,GB196009345072,https://www.google.com/search?q=196009345072+THE+NORTH+FACE+Women%27s+Wander+Short+Sleeve+Tee+%28Standard+and+Plus+Size%29%2C+TNF+Light+Grey+Heather%2C+Large&tbm=shop,Y,https://www.amazon.com/dp/B09KNXC8B3?psc=1,"https://www.google.com/shopping/product/14531965999624848676/offers?q=196009345072&prds=cid:14531965999624848676,cond:1",EMS,31.97,54.349,59.7839,83.43,Y,V,1,,,no,,,,,0,,$87.71,,1.0
"THE NORTH FACE Women's Wander Short Sleeve Tee (Standard and Plus Size), TNF Black 2, X-Large",608826,647571,,,88.87,88.87,,,A20FLYA0IW2L9O,1.0,B09KP1FSMC,196009346390,196009346390,B08MV7SRTX,THE NORTH FACE,,GB196009346390,https://www.google.com/search?q=196009346390+THE+NORTH+FACE+Women%27s+Wander+Short+Sleeve+Tee+%28Standard+and+Plus+Size%29%2C+TNF+Black+2%2C+X-Large&tbm=shop,Y,https://www.amazon.com/dp/B09KP1FSMC?psc=1,"https://www.google.com/shopping/product/8776750260977202624/offers?q=196009346390&prds=cid:8776750260977202624,cond:1",Essential Apparel,38.0,64.6,71.06,87.87,Y,V,1,,,no,,,,,0,,$88.87,,1.0
